what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1531737670140
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1531737673059
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1531737673275
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1531737673451
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1531737673637
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1531737673808
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1531737673968
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1531737674127
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1531737674296
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1531737674473
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1531737677593
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1531737698754
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1531737698935
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1531737712236
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1531737722651
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1531737724514
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1531737753322
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1531737771236
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1531737812910
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1531737813914
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1531737814678
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1531737816566
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1531737816873
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1531737830676
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1531737860367
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1531737864955
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1531737870978
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1531737871332
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1531737879580
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1531737899153
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1531737901466
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1531737903803
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1531737908017
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1531737909901
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1531737917604
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1531737917737
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1531737921178
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1531737926741
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1531737927585
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1531737929701
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1531737931088
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1531737931471
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1531737932362
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1531737933695
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1531737934681
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1531737948798
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1531737955308
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1531737959830
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1531737959878
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1531737965774
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1531737975176
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1531738019301
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1531738022365
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1531738023966
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1531738056300
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1531738069036
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1531738078547
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1531738079596
